"map01" "НАЧАЛО ПУТИ"
"map02" "Санитары идут!"
"map03" "Крепость"
"map04" "По ту сторону"
"map05" "Город"
"map06" "Разрушеный город"
"map07" "Выход из города"
"map08" "Телепорт-центр"
"map09" "Побережье"
"map10" "Дорога в Китай"
"map11" "Туннель"
"map12" "Порт"
"map13" "Морской бой"
"map14" "Перл-Харбор"
"map15" "Выход в город"
"map16" "Шоссе"
"map17" "Закрытый путь"
"map18" "Горная тропа"
"map19" "АЦС"
"map20" "Малый склад"
"map21" "Электростанция1"
"map22" "Электростанция2"
"map23" "Электростанция1"
"map24" "Главная Крепость"
"map25" "Босс"
"d2m01" "Entryway(DOOM2)"
